refs,hyps,same_indices,random_indices,same_index_bleu1,different_index_bleu1,same_index_bleu2,different_index_bleu2,same_index_bleu3,different_index_bleu3,same_index_bleu4,different_index_bleu4,same_index_rouge,different_index_rouge,same_index_bert,different_index_bert,same_index_bleurt,different_index_bleurt
中国人民解放军在众寡悬殊的形势下，采取集中力量打歼灭战等战术，终于赢得了战争的胜利。,"{'人民解放军在人民解放军的帮助下,在敌人的危险中努力消灭敌人。', 'S001960_P0004_T00'}","(0, 0)","[887, 137]",29.0472019948777,0.0,18.322269179980722,0.0,14.75868154631352,0.0,12.439290089870026,0.0,31.623931623917716,0.0,71.56176567077637,67.77774691581726,0.44967329502105713,0.1662893295288086
中国人民解放军在众寡悬殊的形势下，采取集中力量打歼灭战等战术，终于赢得了战争的胜利。,"{'S001960_P0005_T00', '人民解放军在处理危险,集中力量消灭敌人。'}","(1, 1)","[241, 189]",19.97226502188477,0.0,16.73092252370792,0.0,14.590321569281075,0.0,12.488792008588213,0.0,31.63434363123358,0.0,72.96620607376099,63.37180137634277,0.5282099843025208,0.018289640545845032
政府机关的改革，不但要精简多余的人员，更要减少重叠的机构。,"{'改革后,政府不但废除了改革的机构,还废除了改革的机构。', 'S001965_P0000_T00'}","(2, 2)","[862, 721]",41.27124026191912,7.325278573256962,29.739093787742807,0.0,18.729455945455054,0.0,12.626953198628751,0.0,32.06117262656852,10.611782477347365,77.3871898651123,67.01281666755676,0.502821683883667,0.047596678137779236
政府机关的改革，不但要精简多余的人员，更要减少重叠的机构。,"{'S001965_P0005_T00', '政客们在改革后,不但废除了改革的那些机会,也废除了改革的那些机会。'}","(3, 3)","[983, 161]",30.303030303030308,3.6626392866284823,13.762047064079509,0.0,0.0,0.0,0.0,0.0,28.79355501767586,5.30589123867667,73.84433150291443,66.162770986557,0.3934583067893982,0.20177286863327026
我国今年的进口减少了。,"{'S001969_P0000_T00', '我国今年春回大地,艾滋病的患病率大大减少了。'}","(4, 4)","[295, 792]",40.90909090909091,9.090909090909093,34.18817293789137,0.0,28.593057216002816,0.0,22.27227312202058,0.0,45.4545454544862,9.805825242653109,80.72579503059387,62.64311075210571,0.36575356125831604,0.22222088277339935
家里生活条件好了，奶奶还保持着勤俭节约的好习惯。,"{'奶奶老奶奶老是留着一副节约的好习惯。', 'S001975_P0000_T00'}","(5, 5)","[635, 993]",39.807295031877175,19.04761904761905,34.27073978819414,0.0,29.73792883140569,0.0,26.624656571729176,0.0,45.78754578752709,15.65471288456177,78.38802933692932,69.75760459899902,0.4861069321632385,0.034143850207328796
家里生活条件好了，奶奶还保持着勤俭节约的好习惯。,"{'S001975_P0004_T00', '家里生活很好,奶奶老是节约。'}","(6, 6)","[33, 243]",34.96726139692524,4.3478260869565215,25.658954932861885,0.0,17.513466303602982,0.0,12.434499980402004,0.0,46.59584741670813,4.826907704536296,82.70638585090637,62.85204887390137,0.6727951169013977,0.020734980702400208
水资源是宝贵的，我们要节约用水。,"{'水资源很贵,我们要注意节约水资源。', 'S001978_P0000_T00'}","(7, 7)","[437, 1000]",64.70588235294115,7.667036788577693,44.967308386531336,0.0,29.985468634200238,0.0,0.0,0.0,66.54456654451086,7.974522292952097,89.98953104019165,65.37533402442932,0.8131442666053772,0.06418631970882416
水资源是宝贵的，我们要节约用水。,"{'水资源是贵重的,我们要注意节约水资源。', 'S001978_P0005_T00'}","(8, 8)","[32, 72]",68.42105263157896,8.067401742967988,47.75669329409194,0.0,34.2699609841253,0.0,22.39521374625909,0.0,73.2177088086993,10.155316606925242,92.27076172828674,65.53797125816345,0.8004849553108215,0.04730759561061859
他的母亲勤俭节约，把他们抚养长大。,"{'他父母的勤俭节约养成了长辈的储蓄习惯。', 'S001981_P0000_T00'}","(9, 9)","[349, 999]",52.63157894736842,11.76470588235294,29.617443887954618,0.0,21.771686611382517,0.0,15.936357366603362,0.0,49.69418960238667,13.040204788366271,77.0600974559784,66.39041304588318,0.4999693036079407,0.21341314911842346
